Starting program at Mon Jan 17 12:53:24 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 8192, 100, 20
play, 0
38,  43.904,   0.000
40,  36.023,   0.000
42,  29.352,   0.000
44,  23.286,   0.000
46,  18.044,   0.000
48,  13.555,   0.000
50,   9.328,   0.000
52,   5.790,   0.000
54,   3.239,   0.000
56,   1.228,   0.000
58,   0.441,   0.000

play, 15
 0, 293.819,   0.000
 2, 275.624,   0.000
 4, 258.365,   0.000
 6, 243.197,   0.000
 8, 224.396,   0.000
10, 207.864,   0.000
12, 192.727,   0.000
14, 178.698,   0.000
16, 164.847,   0.000
18, 150.083,   0.000
20, 136.577,   0.000
22, 123.817,   0.000
24, 108.649,   0.000
26,  97.844,   0.000
28,  86.712,   0.000
30,  75.598,   0.000
32,  65.893,   0.000
34,  55.526,   0.000
36,  47.785,   0.000
38,  38.484,   0.000
40,  31.556,   0.000
42,  25.053,   0.000
44,  19.403,   0.000
46,  14.974,   0.000
48,  12.211,   0.000
50,   9.286,   0.000
52,   5.801,   0.000
54,   3.343,   0.000
56,   1.271,   0.000
58,   0.609,   0.000
59,   0.417,   0.000

play, 16
 0, 298.516,   0.000
 2, 274.681,   0.000
 4, 258.167,   0.000
 6, 237.158,   0.000
 8, 218.025,   0.000
10, 201.083,   0.000
12, 180.639,   0.000
14, 167.800,   0.000
16, 155.848,   0.000
18, 141.055,   0.000
20, 129.362,   0.000
22, 119.192,   0.000
24, 106.269,   0.000
26,  94.630,   0.000
28,  83.680,   0.000
30,  74.302,   0.000
32,  64.898,   0.000
34,  57.357,   0.000
36,  55.383,   0.000
37,  47.876,   0.000
39,  39.389,   0.000
41,  32.320,   0.000
43,  26.449,   0.000
45,  20.473,   0.000
47,  15.618,   0.000
49,  11.239,   0.000
51,   7.453,   0.000
53,   4.551,   0.000
55,   2.142,   0.000
57,   0.599,   0.000
59,   0.417,   0.000

play, 17
 0, 296.577,   0.000
 2, 276.305,   0.000
 4, 252.118,   0.000
 6, 231.513,   0.000
 8, 213.566,   0.000
10, 210.260,   0.000
12, 181.757,   0.000
14, 166.444,   0.000
16, 153.405,   0.000
18, 140.066,   0.000
20, 126.787,   0.000
22, 115.490,   0.000
24, 110.427,   0.000
28,  82.067,   0.000
30,  73.823,   0.000
32,  64.535,   0.000
34,  55.358,   0.000
36,  47.387,   0.000
38,  39.912,   0.000
40,  36.370,   0.000
42,  30.623,   0.000
44,  24.876,   0.000
46,  20.313,   0.000
48,  14.044,   0.000
50,   9.594,   0.000
52,   6.149,   0.000
53,   4.827,   0.000
54,   3.538,   0.000
55,   2.321,   0.000
57,   0.846,   0.000
59,   0.417,   0.000

play, 18
 0, 296.469,   0.000
 2, 275.151,   0.000
 4, 258.784,   0.000
 6, 241.465,   0.000
 8, 225.407,   0.000
10, 211.613,   0.000
12, 191.322,   0.000
14, 175.289,   0.000
16, 160.917,   0.000
18, 145.884,   0.000
20, 131.528,   0.000
22, 119.723,   0.000
24, 109.507,   0.000
26,  94.853,   0.000
28,  82.770,   0.000
30,  73.970,   0.000
32,  63.416,   0.000
34,  57.049,   0.000
36,  46.346,   0.000
38,  39.072,   0.000
40,  31.881,   0.000
42,  25.162,   0.000
44,  19.259,   0.000
46,  14.413,   0.000
48,  11.557,   0.000
50,   8.869,   0.000
52,   5.738,   0.000
54,   3.134,   0.000
56,   1.081,   0.000
58,   0.468,   0.000

play, 19
 0, 294.620,   0.000
 2, 276.365,   0.000
 4, 259.069,   0.000
 6, 237.561,   0.000
 8, 221.283,   0.000
10, 203.794,   0.000
12, 189.154,   0.000
14, 172.718,   0.000
16, 156.832,   0.000
18, 141.569,   0.000
20, 127.507,   0.000
22, 114.728,   0.000
24, 103.397,   0.000
26,  95.552,   0.000
28,  93.143,   0.000
29,  87.773,   0.000
30,  81.735,   0.000
31,  65.822,   0.000
33,  58.835,   0.000
35,  51.462,   0.000
