Starting program at Mon Jan 10 14:51:17 2022

Parameter: CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 2, 100, 20
play, 0
46,  12.925,   6.122
48,   9.494,   4.799
50,   6.556,   3.741
52,   4.209,   2.721
54,   2.500,   1.942
56,   0.994,   1.086
58,   0.390,   0.542

play, 4
 0, 218.529,  45.837
 2, 204.726,  43.995
 4, 188.851,  41.636
 6, 180.730,  40.552
 8, 167.423,  38.472
10, 152.018,  35.765
12, 143.242,  34.273
14, 131.342,  32.241
16, 120.459,  30.444
18, 109.886,  28.411
20, 100.024,  26.399
22,  90.641,  24.779
24,  82.261,  23.231
26,  71.651,  20.915
28,  64.762,  19.478
30,  58.209,  17.939
32,  49.528,  15.833
34,  41.785,  14.007
36,  36.926,  12.658
38,  31.442,  11.299
40,  26.097,   9.929
42,  21.305,   8.508
44,  16.692,   7.181
46,  13.181,   6.043
48,   9.822,   4.811
50,   6.690,   3.689
52,   4.884,   2.850
53,   3.533,   2.298
54,   2.550,   1.870
56,   1.092,   1.092
58,   0.392,   0.544


Parameter, 1, 16, 100, 20
play, 0
 0, 218.225,  91.541
 2, 202.999,  87.312
 4, 188.730,  83.265
 6, 180.852,  81.713
 8, 167.710,  77.561
10, 157.589,  74.159
12, 142.717,  69.063
14, 130.511,  64.199
16, 122.664,  61.521
18, 109.285,  56.577
20, 101.405,  53.757
22,  91.482,  50.130
24,  81.121,  46.116
26,  73.735,  43.006
28,  65.326,  39.404
30,  57.696,  35.820
32,  50.119,  32.130
34,  43.151,  28.475
36,  37.539,  25.477
38,  31.778,  22.653
40,  26.021,  19.307
42,  21.413,  16.786
44,  16.940,  13.859
46,  13.034,  11.468
48,   9.608,   9.140
50,   6.696,   7.074
52,   4.091,   5.036
54,   2.439,   3.645
56,   0.928,   1.965
58,   0.325,   0.804

play, 1
 0, 217.399,  91.276
 2, 202.364,  87.191
 4, 194.411,  84.996
 6, 175.769,  78.885
 8, 166.894,  76.423
10, 150.730,  71.127
12, 142.553,  68.747
14, 128.928,  64.487
16, 118.554,  60.895
18, 111.743,  58.548
20,  99.425,  53.393
22,  91.827,  50.431
24,  79.678,  45.363
26,  72.950,  42.444
28,  63.334,  37.505
30,  57.037,  34.851
32,  50.162,  31.459
34,  43.573,  27.653
36,  37.421,  24.293
38,  31.703,  21.901
40,  26.250,  19.236
42,  21.364,  16.441
44,  17.073,  13.632
46,  13.074,  11.252
48,  10.051,   8.933
50,   6.732,   6.941
52,   4.291,   5.271
54,   2.479,   3.767
56,   1.101,   2.231
58,   0.395,   1.093
59,   0.281,   0.636

play, 2
 0, 217.635,  91.422
 2, 200.758,  86.919
 4, 188.953,  83.381
 6, 180.930,  81.674
 8, 167.968,  77.577
10, 155.978,  74.185
12, 144.268,  70.730
14, 131.719,  66.282
16, 121.477,  62.651
18, 110.615,  58.593
20,  98.429,  53.862
22,  90.877,  51.250
24,  83.510,  48.314
26,  75.350,  45.140
28,  66.319,  41.332
30,  59.060,  37.917
32,  50.424,  33.991
34,  44.263,  30.912
36,  36.504,  27.017
38,  31.752,  24.363
40,  24.606,  20.028
42,  20.455,  17.417
44,  17.113,  15.227
46,  13.309,  12.512
48,   9.646,   9.946
50,   6.963,   7.785
52,   4.547,   5.807
54,   2.538,   3.876
55,   1.679,   3.015
57,   0.604,   1.585
58,   0.325,   0.825

play, 3
 0, 215.413,  90.686
 2, 205.237,  88.038
 4, 189.651,  83.959
 6, 180.859,  81.930
 8, 170.286,  78.859
10, 154.679,  74.180
12, 146.435,  71.414
14, 133.780,  67.378
16, 123.110,  63.555
18, 111.169,  59.030
20,  99.919,  54.369
22,  91.951,  51.425
24,  83.249,  47.549
26,  72.662,  42.616
28,  64.037,  38.515
30,  56.861,  35.148
32,  50.396,  32.239
34,  42.610,  28.635
36,  36.440,  25.487
38,  31.305,  22.681
40,  24.447,  18.647
42,  20.551,  16.246
44,  15.890,  13.509
46,  12.216,  11.014
48,   9.487,   9.124
50,   6.602,   6.987
52,   4.347,   5.333
54,   2.468,   3.809
56,   0.995,   2.170
58,   0.461,   1.358
59,   0.279,   0.635

play, 4
 0, 216.290,  90.933
 2, 201.542,  86.778
