Starting program at Tue Feb 22 15:46:00 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 4096, 100, 20
play, 0
 8, 187.110,   0.000
10, 171.804,   0.000
12, 161.106,   0.000
14, 145.776,   0.000
16, 133.700,   0.000
18, 120.609,   0.000
20, 108.655,   0.000
22,  99.154,   0.000
24,  86.289,   0.000
26,  75.995,   0.000
28,  66.984,   0.000
30,  60.291,   0.000
32,  50.148,   0.000
34,  42.729,   0.000
36,  36.210,   0.000
38,  30.473,   0.000
40,  25.067,   0.000
42,  20.826,   0.000
44,  17.420,   0.000
46,  14.097,   0.000
48,  10.651,   0.000
50,   7.397,   0.000
52,   4.942,   0.000
53,   3.719,   0.000
55,   2.120,   0.000
57,   0.766,   0.000
59,   0.396,   0.000


Parameter, 1, 7680, 100, 20
play, 0
 0, 276.219,   0.000
 2, 257.694,   0.000
 4, 241.804,   0.000
 6, 226.659,   0.000
 8, 207.667,   0.000
10, 191.923,   0.000
12, 174.393,   0.000
14, 161.663,   0.000
16, 152.033,   0.000
18, 138.256,   0.000
20, 124.502,   0.000
22, 114.367,   0.000
24, 105.270,   0.000
26,  90.099,   0.000
28,  79.128,   0.000
30,  68.202,   0.000
32,  59.007,   0.000
34,  49.749,   0.000
36,  42.520,   0.000
38,  35.773,   0.000
40,  28.932,   0.000
42,  22.864,   0.000
44,  17.498,   0.000
46,  12.754,   0.000
48,   9.574,   0.000
50,   7.605,   0.000
52,   5.149,   0.000
54,   2.788,   0.000
56,   1.083,   0.000
58,   0.444,   0.000

play, 1
 0, 279.221,   0.000
 2, 257.556,   0.000
 4, 240.492,   0.000
 6, 223.261,   0.000
 8, 210.022,   0.000
10, 191.666,   0.000
