Starting program at Mon Feb 21 13:35:15 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 8192, 100, 20
play, 0
57,   5.359,   0.000
58,   2.258,   0.000
59,   0.978,   0.000


Parameter, 1, 60416, 100, 20
play, 0
 0, 2402.250,   0.000
 2, 2226.462,   0.000
 4, 2078.379,   0.000
 6, 1919.920,   0.000
 8, 1779.251,   0.000
10, 1663.902,   0.000
12, 1548.465,   0.000
14, 1392.707,   0.000
16, 1293.445,   0.000
18, 1184.626,   0.000
20, 1069.482,   0.000
22, 956.918,   0.000
24, 856.025,   0.000
26, 752.074,   0.000
28, 656.374,   0.000
30, 570.740,   0.000
32, 498.474,   0.000
34, 433.976,   0.000
36, 389.798,   0.000
38, 321.741,   0.000
40, 271.613,   0.000
42, 227.454,   0.000
44, 210.722,   0.000
45, 174.013,   0.000
47, 132.603,   0.000
49,  95.149,   0.000
51,  63.663,   0.000
53,  38.352,   0.000
55,  19.010,   0.000
57,   4.511,   0.000
59,   1.038,   0.000

play, 1
 0, 2393.970,   0.000
 2, 2221.104,   0.000
 4, 2084.531,   0.000
 6, 1946.522,   0.000
 8, 1843.993,   0.000
10, 1649.121,   0.000
12, 1515.184,   0.000
14, 1386.376,   0.000
16, 1272.891,   0.000
18, 1177.199,   0.000
20, 1065.994,   0.000
22, 956.833,   0.000
24, 863.746,   0.000
26, 769.894,   0.000
28, 673.589,   0.000
30, 586.098,   0.000
32, 509.756,   0.000
34, 433.674,   0.000
36, 366.324,   0.000
38, 312.138,   0.000
40, 256.209,   0.000
42, 204.987,   0.000
44, 165.310,   0.000
46, 140.070,   0.000
48, 105.335,   0.000
50,  77.927,   0.000
52,  48.313,   0.000
54,  27.174,   0.000
56,  12.726,   0.000
58,   2.361,   0.000

play, 2
 0, 2365.330,   0.000
 2, 2226.171,   0.000
 4, 2091.158,   0.000
 6, 1911.078,   0.000
 8, 1774.752,   0.000
10, 1642.953,   0.000
12, 1502.022,   0.000
14, 1384.228,   0.000
16, 1298.298,   0.000
18, 1161.516,   0.000
20, 1050.623,   0.000
22, 961.851,   0.000
24, 868.509,   0.000
26, 774.147,   0.000
28, 682.564,   0.000
30, 614.567,   0.000
32, 521.992,   0.000
34, 460.037,   0.000
36, 384.843,   0.000
38, 347.778,   0.000
40, 297.485,   0.000
42, 242.044,   0.000
44, 192.443,   0.000
45, 175.483,   0.000
47, 132.469,   0.000
48, 115.785,   0.000
50,  76.036,   0.000
52,  45.388,   0.000
54,  23.663,   0.000
56,   7.847,   0.000
58,   1.307,   0.000

play, 3
 0, 2370.802,   0.000
 2, 2217.800,   0.000
 4, 2068.345,   0.000
 6, 1935.137,   0.000
 8, 1815.739,   0.000
10, 1663.378,   0.000
12, 1525.027,   0.000
14, 1409.632,   0.000
16, 1280.367,   0.000
18, 1169.006,   0.000
20, 1066.565,   0.000
22, 960.258,   0.000
24, 861.193,   0.000
26, 774.062,   0.000
28, 679.670,   0.000
30, 592.668,   0.000
32, 514.756,   0.000
34, 432.116,   0.000
36, 370.976,   0.000
38, 318.575,   0.000
40, 259.887,   0.000
42, 208.182,   0.000
44, 162.057,   0.000
46, 125.489,   0.000
48,  94.751,   0.000
50,  75.536,   0.000
52,  49.368,   0.000
54,  27.905,   0.000
56,  10.886,   0.000
58,   1.305,   0.000

play, 4
 0, 2368.676,   0.000
 2, 2217.247,   0.000
 4, 2068.263,   0.000
 6, 1923.641,   0.000
 8, 1792.553,   0.000
10, 1674.470,   0.000
12, 1545.352,   0.000
14, 1416.050,   0.000
16, 1291.328,   0.000
18, 1174.584,   0.000
20, 1063.123,   0.000
22, 953.832,   0.000
24, 862.456,   0.000
26, 768.757,   0.000
28, 678.417,   0.000
30, 595.751,   0.000
32, 533.101,   0.000
34, 447.417,   0.000
36, 384.827,   0.000
38, 314.097,   0.000
40, 257.095,   0.000
42, 221.926,   0.000
44, 191.595,   0.000
46, 147.349,   0.000
48, 109.758,   0.000
50,  80.878,   0.000
52,  53.786,   0.000
54,  27.503,   0.000
56,   8.528,   0.000
58,   2.358,   0.000


Program end at Tue Feb 22 03:28:39 2022

